"SL"|No |No |"Sandy loam"|"65682947"|"132365947"
"L"|No |No |"Loam"|"65682947"|"132365948"
"FSL"|No |Yes|"Fine sandy loam"|"65682947"|"132365949"
"L"|No |No |"Loam"|"65682923"|"132365861"
"FSL"|No |No |"Fine sandy loam"|"65682923"|"132365862"
"SCL"|No |Yes|"Sandy clay loam"|"65682923"|"132365863"
"CL"|No |No |"Clay loam"|"65682923"|"132365864"
"SL"|No |No |"Sandy loam"|"65682934"|"132365898"
"L"|No |Yes|"Loam"|"65682934"|"132365899"
"SR- S MK-SICL"|Yes|No |"Stratified sand to mucky silty clay loam"|"65682934"|"132365900"
"MUCK"|No |No |"Muck"|"65682934"|"132365901"
"SC"|No |No |"Sandy clay"|"65682886"|"132365734"
"C"|No |No |"Clay"|"65682886"|"132365733"
"SIC"|No |Yes|"Silty clay"|"65682886"|"132365732"
"FSL"|No |No |"Fine sandy loam"|"65682801"|"132365436"
"SIL"|No |Yes|"Silt loam"|"65682801"|"132365435"
"SCL"|No |No |"Sandy clay loam"|"65682801"|"132365434"
"SICL"|No |No |"Silty clay loam"|"65682801"|"132365433"
"LFS"|No |Yes|"Loamy fine sand"|"65682812"|"132365474"
"S"|No |No |"Sand"|"65682812"|"132365473"
"FS"|No |No |"Fine sand"|"65682812"|"132365472"
"LS"|No |No |"Loamy sand"|"65682812"|"132365471"
"L"|No |No |"Loam"|"65682820"|"132365494"
"SIL"|No |Yes|"Silt loam"|"65682820"|"132365493"
"SIC"|No |No |"Silty clay"|"65682864"|"132365657"
"SC"|No |No |"Sandy clay"|"65682864"|"132365656"
"CL"|No |Yes|"Clay loam"|"65682864"|"132365655"
"C"|No |No |"Clay"|"65682864"|"132365654"
"LS"|No |No |"Loamy sand"|"65682875"|"132365698"
"SL"|No |Yes|"Sandy loam"|"65682875"|"132365697"
"GR-S"|No |No |"Gravelly sand"|"65682875"|"132365696"
"S"|No |No |"Sand"|"65682875"|"132365695"
"CL"|No |No |"Clay loam"|"65682838"|"132365555"
"SCL"|No |Yes|"Sandy clay loam"|"65682838"|"132365554"
"FSL"|No |No |"Fine sandy loam"|"65682838"|"132365553"
"L"|No |No |"Loam"|"65682838"|"132365552"
"MK-C"|No |No |"Mucky clay"|"65682945"|"132365937"
"C"|No |No |"Clay"|"65682945"|"132365938"
"MK-SIC"|No |Yes|"Mucky silty clay"|"65682945"|"132365939"
"MK-SICL"|No |No |"Mucky silty clay loam"|"65682945"|"132365940"
"MK-SIL"|No |No |"Mucky silt loam"|"65682945"|"132365941"
"LS"|No |No |"Loamy sand"|"65682912"|"132365816"
"S"|No |No |"Sand"|"65682912"|"132365817"
"LFS"|No |Yes|"Loamy fine sand"|"65682912"|"132365818"
"L"|No |No |"Loam"|"65682901"|"132365785"
"FSL"|No |No |"Fine sandy loam"|"65682901"|"132365784"
"LS"|No |No |"Loamy sand"|"65682901"|"132365783"
